symbol	timestamp	timeframe	open	high	low	close
XAUUSD	2025.12.29 20:00	4H	4328.16	4344.63	4322.89	4332.12
XAUUSD	2025.12.30 00:00	4H	4339.55	4360.18	4324.54	4360.18
XAUUSD	2025.12.30 04:00	4H	4360.18	4380.15	4348.84	4377.70
XAUUSD	2025.12.30 08:00	4H	4377.70	4383.40	4350.21	4372.24
XAUUSD	2025.12.30 12:00	4H	4372.17	4404.25	4367.76	4388.46
XAUUSD	2025.12.30 16:00	4H	4388.46	4392.17	4354.90	4370.21
XAUUSD	2025.12.30 20:00	4H	4370.23	4378.68	4334.81	4339.12
XAUUSD	2025.12.31 00:00	4H	4340.58	4373.29	4328.71	4365.99
XAUUSD	2025.12.31 04:00	4H	4366.04	4371.15	4276.05	4285.95
XAUUSD	2025.12.31 08:00	4H	4285.95	4337.31	4274.49	4325.88
XAUUSD	2025.12.31 12:00	4H	4325.87	4348.37	4303.19	4345.87
XAUUSD	2025.12.31 16:00	4H	4345.90	4353.35	4317.11	4321.95
XAUUSD	2025.12.31 20:00	4H	4321.95	4331.59	4304.62	4318.82
XAUUSD	2026.01.02 00:00	4H	4318.72	4356.00	4318.72	4347.99
XAUUSD	2026.01.02 04:00	4H	4347.99	4381.74	4345.03	4380.74
XAUUSD	2026.01.02 08:00	4H	4380.74	4397.65	4371.99	4385.55
XAUUSD	2026.01.02 12:00	4H	4385.54	4402.31	4362.01	4366.03
XAUUSD	2026.01.02 16:00	4H	4366.03	4373.70	4315.03	4323.07
XAUUSD	2026.01.02 20:00	4H	4323.07	4333.25	4309.97	4332.35
XAUUSD	2026.01.05 00:00	4H	4352.13	4421.34	4343.87	4401.86
XAUUSD	2026.01.05 04:00	4H	4401.95	4414.56	4388.61	4412.69
XAUUSD	2026.01.05 08:00	4H	4412.67	4438.16	4411.41	4434.85
XAUUSD	2026.01.05 12:00	4H	4434.85	4439.88	4396.23	4416.82
XAUUSD	2026.01.05 16:00	4H	4416.86	4455.65	4416.86	4443.54
XAUUSD	2026.01.05 20:00	4H	4443.50	4449.42	4434.84	4449.00
XAUUSD	2026.01.06 00:00	4H	4449.00	4460.12	4427.96	4450.67
XAUUSD	2026.01.06 04:00	4H	4450.66	4474.25	4448.66	4452.47
XAUUSD	2026.01.06 08:00	4H	4452.52	4475.71	4444.82	4446.39
XAUUSD	2026.01.06 12:00	4H	4446.39	4470.45	4442.60	4467.98
XAUUSD	2026.01.06 16:00	4H	4467.98	4491.51	4463.08	4489.47
XAUUSD	2026.01.06 20:00	4H	4489.47	4497.22	4477.44	4494.64
XAUUSD	2026.01.07 00:00	4H	4494.64	4500.42	4461.80	4465.50
XAUUSD	2026.01.07 04:00	4H	4465.50	4480.23	4443.27	4454.33
